slug,name,destination_slug,destination_ok,additional_destinations,additional_dest_ok,gauge_status,gauge_site_ids,gauge_count,gauge_notes,silent_live_empty,flow_chart_empty_copy,hero_dek_quiet_claims,hatch_status,hatch_months,hatch_entries,hatch_insects,hatch_windows_implausible,hatch_patterns_unmatched,access_status,access_count,access_named,species_status,species_count,species_resolved,species_unresolved,description_chars,description_status,regs_status,verified_at,thumbnail_null,flow_type,difficulty,wading_type,difficulty_vs_water,species_vs_hatch,broken_links,broken_link_count,flies_for_href,plan_href,dest_href,hatch_page_links_emitted
big-spring-creek,Big Spring Creek,pennsylvania,yes,,yes,mapped,06111800,1,stored_site_06111800_is_lewistown_mt_regs_are_pennsylvania,no,n/a,,thin,3,6,Sulphur|Caddis|Trico|Terrestrials|Blue-winged Olive|Midges,,"Sulphur Dun, Comparadun, Sulphur Emerger|Elk Hair Caddis, CDC Caddis|Trico Spinner, CDC Trico, Parachute Trico|Fur Ant, Foam Beetle|Parachute BWO, RS2|Griffith's Gnat, Zebra Midge",real,2,2,real,2,brown-trout|rainbow-trout,,1604,real,generic_check_agency,column_missing,no,spring creek,advanced,wade,ok,ok,,0,/flies/for/big-spring-creek,/plan/big-spring-creek,/destinations/pennsylvania,no
big-wood-river-idaho,Big Wood River,idaho,yes,,yes,none,,0,,yes,honest_no_gauge,RiverLiveInset_mounted_without_usgs_site,real,10,25,Midge|Blue-winged Olive|Skwala Stonefly|Pale Morning Dun|Caddis|Green Drake|Spotted Caddis|Yellow Sally|Grasshopper|Western Red Quill,,Mercury Midge|Parachute BWO|CDC BWO|Skwala Dry|PMD Comparadun|Green Drake Parachute|PMD Sparkle Dun|PMD Cripple|Yellow Stimulator|Red Quill Comparadun|Red Quill Parachute,real,5,5,real,3,brown-trout|rainbow-trout|mountain-whitefish,,2583,real,specific,column_missing,no,freestone,intermediate,wade,ok,ok,,0,/flies/for/big-wood-river-idaho,/plan/big-wood-river-idaho,/destinations/idaho,no
bighorn-river-montana,Bighorn River,montana,yes,,yes,none,,0,,yes,honest_no_gauge,RiverLiveInset_mounted_without_usgs_site,real,12,26,Midge|Scud|Blue-winged Olive|Caddis|Pale Morning Dun|Trico|Grasshopper,,Pink Scud|Mercury Midge|Olive Scud|Griffiths Gnat|Parachute BWO|Disco Midge|PMD Sparkle Dun|Tan Elk Hair Caddis|PMD Cripple|Dave Hopper,real,3,3,real,2,brown-trout|rainbow-trout,,2847,real,specific,column_missing,no,tailwater,intermediate,both,ok,ok,,0,/flies/for/bighorn-river-montana,/plan/bighorn-river-montana,/destinations/montana,no
bighorn-river-wyoming,Bighorn River (Wyoming),wyoming,yes,,yes,none,,0,,yes,honest_no_gauge,RiverLiveInset_mounted_without_usgs_site,real,7,18,Blue-winged Olive|Midge|Pale Morning Dun|Caddis|Salmonfly|Golden Stonefly|Grasshopper|Mahogany Dun,,Parachute BWO|Mercury Midge|PMD Comparadun|Sofa Pillow|PMD Sparkle Dun|PMD Cripple|CDC BWO|Mahogany Comparadun,real,5,5,real,3,brown-trout|rainbow-trout|mountain-whitefish,,2528,real,specific,column_missing,no,tailwater,intermediate,both,ok,ok,,0,/flies/for/bighorn-river-wyoming,/plan/bighorn-river-wyoming,/destinations/wyoming,no
bitterroot-river-montana,Bitterroot River,montana,yes,,yes,none,,0,,yes,honest_no_gauge,RiverLiveInset_mounted_without_usgs_site,real,12,26,Midge|Blue-winged Olive|Skwala Stonefly|March Brown|Mothers Day Caddis|Salmonfly|Golden Stonefly|Green Drake|Pale Morning Dun|Caddis|Grasshopper|Ant|Mahogany Dun,,Griffiths Gnat|Parachute BWO|Skwala Dry|March Brown Parachute|Sofa Pillow|Parachute Green Drake|PMD Sparkle Dun|Mahogany Comparadun|Mercury Midge,real,5,5,real,3,cutthroat-trout|rainbow-trout|brown-trout,,3076,real,specific,column_missing,no,freestone,intermediate,both,ok,ok,,0,/flies/for/bitterroot-river-montana,/plan/bitterroot-river-montana,/destinations/montana,no
blackfoot-river-montana,Blackfoot River,montana,yes,,yes,none,,0,,yes,honest_no_gauge,RiverLiveInset_mounted_without_usgs_site,real,12,25,Midge|Blue-winged Olive|Skwala Stonefly|March Brown|Mothers Day Caddis|Salmonfly|Golden Stonefly|Green Drake|Pale Morning Dun|Caddis|Grasshopper|Ant|Mahogany Dun,,Griffiths Gnat|Parachute BWO|Skwala Dry|March Brown Parachute|Sofa Pillow|Parachute Green Drake|PMD Sparkle Dun|Mahogany Comparadun|Mercury Midge,real,5,5,real,4,rainbow-trout|brown-trout|bull-trout,Westslope Cutthroat Trout,3281,real,specific,column_missing,no,freestone,intermediate,both,ok,ok,,0,/flies/for/blackfoot-river-montana,/plan/blackfoot-river-montana,/destinations/montana,no
blue-river-colorado,Blue River,colorado,yes,,yes,none,,0,,yes,honest_no_gauge,RiverLiveInset_mounted_without_usgs_site,real,5,10,Midge|Mysis Shrimp|Blue-winged Olive|PMD|Caddis,,Mercury Mysis|Parachute BWO|Mercury Midge|PMD Sparkle Dun|BWO Cripple|Griffiths Gnat|UV Mysis,real,4,4,real,4,rainbow-trout|brown-trout|brook-trout|cutthroat-trout,,2709,real,specific,column_missing,no,tailwater,advanced,wade,ok,ok,,0,/flies/for/blue-river-colorado,/plan/blue-river-colorado,/destinations/colorado,no
boardman-river,Boardman River,michigan,yes,,yes,none,,0,,yes,honest_no_gauge,RiverLiveInset_mounted_without_usgs_site,real,6,14,Hendrickson|Black Caddis|Blue-winged Olive|Sulphur|Brown Drake|Isonychia|Hexagenia|Grey Drake|Trico|Terrestrials|Mahogany Dun,,Parachute Hendrickson|Black Elk Hair Caddis|Parachute BWO|Parachute Sulphur|Brown Drake Paradrake|Slate Drake|Hex Paradrake|Grey Drake Spinner|Trico Poly Wing Spinner|Mahogany Sparkle Dun|Sparkle Dun BWO,real,5,5,real,6,brown-trout|brook-trout|rainbow-trout|steelhead|chinook-salmon|coho-salmon,,2554,real,specific,column_missing,no,freestone,intermediate,wade,ok,ok,,0,/flies/for/boardman-river,/plan/boardman-river,/destinations/michigan,no
boulder-river-montana,Boulder River,montana,yes,,yes,none,,0,,yes,honest_no_gauge,RiverLiveInset_mounted_without_usgs_site,real,12,22,Midge|Blue-winged Olive|Runoff|Caddis|Runoff Clearing|Golden Stonefly|Pale Morning Dun|Grasshopper|Ant|Mahogany Dun,,Griffiths Gnat|Parachute BWO|Streamer / Nymph|Wooly Bugger|PMD Sparkle Dun|Mahogany Comparadun|Dave Hopper|Mercury Midge,real,4,4,real,3,rainbow-trout|brown-trout|cutthroat-trout,,2761,real,specific,column_missing,no,freestone,intermediate,wade,ok,ok,,0,/flies/for/boulder-river-montana,/plan/boulder-river-montana,/destinations/montana,no
bristol-bay,Bristol Bay Rivers,alaska,yes,,yes,none,,0,,yes,honest_no_gauge,RiverLiveInset_mounted_without_usgs_site,stub,0,0,,,,real,3,3,real,6,rainbow-trout|sockeye-salmon|arctic-grayling|arctic-char,King Salmon|Silver Salmon,1549,real,generic_check_agency,column_missing,no,freestone,intermediate,both,ok,trout_river_hatch_stub,,0,/flies/for/bristol-bay,/plan/bristol-bay,/destinations/alaska,no
brule-river-wisconsin,Brule River (Wisconsin),wisconsin,yes,,yes,none,,0,,yes,honest_no_gauge,RiverLiveInset_mounted_without_usgs_site,real,7,15,Blue-winged Olive|Midge|Hendrickson|Black Caddis|Sulphur|Brown Drake|Hexagenia|Hexagenia (late)|Trico|Terrestrials,,Parachute BWO|CDC Midge|Parachute Hendrickson|Black Elk Hair Caddis|Sparkle Dun BWO|Parachute Sulphur|Brown Drake Paradrake|Hex Paradrake|Hex Wiggle Nymph|Foam Hopper|Trico Poly Wing Spinner,real,5,5,real,4,brown-trout|brook-trout|steelhead|chinook-salmon,,2467,real,specific,column_missing,no,spring creek,advanced,both,ok,ok,,0,/flies/for/brule-river-wisconsin,/plan/brule-river-wisconsin,/destinations/wisconsin,no
cache-la-poudre-river,Cache La Poudre River,colorado,yes,,yes,none,,0,,yes,honest_no_gauge,RiverLiveInset_mounted_without_usgs_site,real,6,12,Blue-winged Olive|Midge|Caddis|Green Caddis|PMD|Yellow Sally|Grasshopper|October Caddis,,Parachute BWO|Mercury Midge|PMD Parachute|Yellow Humpy|Dave Hopper|Hemingway Caddis|Orange Stimulator,real,4,4,real,4,brown-trout|rainbow-trout|cutthroat-trout|brook-trout,,2702,real,specific,column_missing,no,freestone,intermediate,wade,ok,ok,,0,/flies/for/cache-la-poudre-river,/plan/cache-la-poudre-river,/destinations/colorado,no
caney-fork-river,Caney Fork River,tennessee,yes,,yes,none,,0,,yes,honest_no_gauge,RiverLiveInset_mounted_without_usgs_site,real,12,25,Midge|Scud|Blue-winged Olive|Caddis|Sulphur|Terrestrial|Trico,,Tan Scud|Mercury Midge|Parachute BWO|Parachute Sulphur|Black Ant|Dave Hopper|Griffiths Gnat|Soft Hackle Caddis,real,4,4,real,2,brown-trout|rainbow-trout,,2923,real,specific,column_missing,no,tailwater,intermediate,both,ok,ok,,0,/flies/for/caney-fork-river,/plan/caney-fork-river,/destinations/tennessee,no
chattahoochee-river-ga,Chattahoochee River,georgia,yes,,yes,none,,0,,yes,honest_no_gauge,RiverLiveInset_mounted_without_usgs_site,real,12,30,Midge|Blue-winged Olive|Little Black Caddis|Caddis|Sulphur|Light Cahill|Terrestrials,,"Mercury Midge|Parachute BWO|Black X-Caddis|Parachute Sulphur|Comparadun Sulphur|Light Cahill Parachute|Black Ant, Foam Beetle|Black Ant, Beetle|Ant, Beetle",real,4,4,real,2,rainbow-trout|brown-trout,,3079,real,specific,column_missing,no,tailwater,beginner,wade,ok,ok,,0,/flies/for/chattahoochee-river-ga,/plan/chattahoochee-river-ga,/destinations/georgia,no
chattooga-river,Chattooga River,north-carolina,yes,,yes,none,,0,,yes,honest_no_gauge,RiverLiveInset_mounted_without_usgs_site,real,6,11,Blue-winged Olive|Quill Gordon|Hendrickson|Sulphur|Caddis|March Brown|Light Cahill|Yellow Sally|October Caddis,,Parachute BWO|Hendrickson Emerger|Sulphur Parachute|March Brown Parachute|Light Cahill|Yellow Sally Stonefly|CDC Caddis,real,4,4,real,3,brown-trout|rainbow-trout|smallmouth-bass,,2225,real,specific,column_missing,no,freestone,advanced,wade,ok,ok,,0,/flies/for/chattooga-river,/plan/chattooga-river,/destinations/north-carolina,no
chena-river,Chena River (Alaska),alaska,yes,,yes,none,,0,,yes,honest_no_gauge,RiverLiveInset_mounted_without_usgs_site,real,4,12,Caddis|Stonefly|Midge|Mayfly|Terrestrials|Blue-winged Olive,,Griffiths Gnat|Yellow Stimulator|Parachute BWO,real,5,5,real,4,arctic-grayling|chum-salmon|coho-salmon|northern-pike,,2638,real,specific,column_missing,no,freestone,beginner,wade,ok,ok,,0,/flies/for/chena-river,/plan/chena-river,/destinations/alaska,no
clark-fork-river-montana,Clark Fork River,montana,yes,,yes,none,,0,,yes,honest_no_gauge,RiverLiveInset_mounted_without_usgs_site,real,12,25,Midge|Blue-winged Olive|Skwala Stonefly|Mothers Day Caddis|March Brown|Golden Stonefly|Salmonfly|Caddis|Pale Morning Dun|Grasshopper|Ant|Mahogany Dun,,Griffiths Gnat|Parachute BWO|Skwala Dry|March Brown Parachute|Sofa Pillow|PMD Sparkle Dun|Dave Hopper|Mahogany Comparadun|Mercury Midge,real,5,5,real,4,rainbow-trout|brown-trout|bull-trout,Westslope Cutthroat Trout,2882,real,specific,column_missing,no,freestone,intermediate,both,ok,ok,,0,/flies/for/clark-fork-river-montana,/plan/clark-fork-river-montana,/destinations/montana,no
clearwater-river-idaho,Clearwater River,idaho,yes,,yes,none,,0,,yes,honest_no_gauge,RiverLiveInset_mounted_without_usgs_site,real,7,14,Skwala Stonefly|Blue-winged Olive|Salmonfly|Golden Stonefly|Pale Morning Dun|Caddis|Grasshopper|Midge,,Skwala Dry|Parachute BWO|Kaufmann Stone|PMD Comparadun|CDC BWO|Mercury Midge,real,5,5,real,5,steelhead|chinook-salmon|rainbow-trout|smallmouth-bass,Westslope Cutthroat Trout,2430,real,specific,column_missing,no,freestone,advanced,both,ok,ok,,0,/flies/for/clearwater-river-idaho,/plan/clearwater-river-idaho,/destinations/idaho,no
clinch-river-tennessee,Clinch River,tennessee,yes,,yes,none,,0,,yes,honest_no_gauge,RiverLiveInset_mounted_without_usgs_site,real,12,29,Midge|Sowbug|Blue-winged Olive|Scud|Caddis|Sulphur|Terrestrial,,Mercury Midge|Parachute BWO|Olive Scud|Parachute Sulphur|Griffiths Gnat|Black Ant|Dave Hopper|Soft Hackle Caddis,real,4,4,real,2,rainbow-trout|brown-trout,,3210,real,specific,column_missing,no,tailwater,intermediate,wade,ok,ok,,0,/flies/for/clinch-river-tennessee,/plan/clinch-river-tennessee,/destinations/tennessee,no
colorado-river-colorado,Colorado River (Grand County),colorado,yes,,yes,none,,0,,yes,honest_no_gauge,RiverLiveInset_mounted_without_usgs_site,real,6,11,Blue-winged Olive|Midge|Caddis|Golden Stonefly|PMD|Trico,,Parachute BWO|Mercury Midge|PMD Sparkle Dun|Pale Evening Dun,real,4,4,real,2,rainbow-trout|brown-trout,,2970,real,specific,column_missing,no,freestone,intermediate,both,ok,ok,,0,/flies/for/colorado-river-colorado,/plan/colorado-river-colorado,/destinations/colorado,no
copper-river-alaska,Copper River,alaska,yes,,yes,mapped,15214000,1,,no,n/a,,stub,0,0,,,,real,3,3,real,5,sockeye-salmon|rainbow-trout,King Salmon|Silver Salmon|Dolly Varden,1524,real,generic_check_agency,column_missing,no,freestone,advanced,both,ok,trout_river_hatch_stub,,0,/flies/for/copper-river-alaska,/plan/copper-river-alaska,/destinations/alaska,no
cranberry-river-wv,Cranberry River,west-virginia,yes,,yes,none,,0,,yes,honest_no_gauge,RiverLiveInset_mounted_without_usgs_site,real,12,26,Midge|Blue-winged Olive|Early Black Stonefly|Quill Gordon|Hendrickson|Little Black Caddis|Caddis|Light Cahill|March Brown|Yellow Sally|Sulphur|Terrestrials,,"Mercury Midge|Parachute BWO|Black Stonefly Dry|Quill Gordon Dry|Hendrickson Parachute|Black X-Caddis|Light Cahill Parachute|Yellow Sally Dry|Parachute Sulphur|Black Ant, Beetle|Hopper, Beetle, Ant|Tan X-Caddis|Black Ant",real,4,4,real,3,brook-trout|rainbow-trout|brown-trout,,3024,real,specific,column_missing,no,freestone,intermediate,wade,ok,ok,,0,/flies/for/cranberry-river-wv,/plan/cranberry-river-wv,/destinations/west-virginia,no
cumberland-river-ky,Cumberland River,kentucky,yes,,yes,none,,0,,yes,honest_no_gauge,RiverLiveInset_mounted_without_usgs_site,real,12,31,Midge|Blue-winged Olive|Little Black Caddis|Caddis|Sulphur|Light Cahill|Terrestrials|Trico,,"Mercury Midge|Parachute BWO|Black X-Caddis|Parachute Sulphur|Comparadun Sulphur|Light Cahill Parachute|Black Ant, Foam Beetle|Hopper, Beetle, Ant|Foam Hopper, Black Ant|Black Ant, Beetle",real,4,4,real,2,brown-trout|rainbow-trout,,3161,real,specific,column_missing,no,tailwater,intermediate,both,ok,ok,,0,/flies/for/cumberland-river-ky,/plan/cumberland-river-ky,/destinations/kentucky,no
davidson-river-nc,Davidson River,north-carolina,yes,,yes,none,,0,,yes,honest_no_gauge,RiverLiveInset_mounted_without_usgs_site,real,6,10,Blue-winged Olive|Hendrickson|Sulphur|Caddis|Light Cahill|Yellow Sally|October Caddis,,Parachute BWO|Hendrickson Emerger|Sparkle Dun BWO|Sulphur Parachute|Light Cahill Parachute|Yellow Sally Stonefly|CDC Caddis|October Caddis Stimulator,real,4,4,real,2,rainbow-trout|brown-trout,,2269,real,specific,column_missing,no,freestone,intermediate,wade,ok,ok,,0,/flies/for/davidson-river-nc,/plan/davidson-river-nc,/destinations/north-carolina,no
deerfield-river,Deerfield River,massachusetts,yes,,yes,none,,0,,yes,honest_no_gauge,RiverLiveInset_mounted_without_usgs_site,stub,0,0,,,,real,4,4,real,3,brown-trout|rainbow-trout|brook-trout,,1568,real,specific,column_missing,no,tailwater,intermediate,wade,ok,trout_river_hatch_stub,,0,/flies/for/deerfield-river,/plan/deerfield-river,/destinations/massachusetts,no
delaware-river-east-branch,Delaware River East Branch,new-york,yes,,yes,none,,0,,yes,honest_no_gauge,RiverLiveInset_mounted_without_usgs_site,real,8,17,Hendrickson|Blue-winged Olive|Sulphur|Green Drake|March Brown|Light Cahill|Sulphur Spinner|Tan Caddis|Trico|Isonychia,,Catskill Hendrickson|Parachute BWO|Sulphur Comparadun|Comparadun Green Drake|Catskill Light Cahill|Sulphur Spinner|Isonychia Comparadun|Slate Drake,real,4,4,real,2,brown-trout|rainbow-trout,,2493,real,specific,column_missing,no,tailwater,intermediate,wade,ok,ok,,0,/flies/for/delaware-river-east-branch,/plan/delaware-river-east-branch,/destinations/new-york,no
delaware-river-west-branch,Delaware River West Branch,new-york,yes,,yes,none,,0,,yes,honest_no_gauge,RiverLiveInset_mounted_without_usgs_site,real,8,19,Hendrickson|Blue-winged Olive|Sulphur|Green Drake|March Brown|Light Cahill|Trico|Isonychia|Tan Caddis,,Catskill Hendrickson|Parachute BWO|Sulphur Comparadun|Comparadun Green Drake|Catskill Light Cahill|Sulphur Spinner|Sparkle Dun BWO|Isonychia Comparadun|Slate Drake,real,4,4,real,2,brown-trout|rainbow-trout,,2329,real,specific,column_missing,no,tailwater,intermediate,wade,ok,ok,,0,/flies/for/delaware-river-west-branch,/plan/delaware-river-west-branch,/destinations/new-york,no
deschutes-river,Deschutes River,oregon,yes,,yes,mapped,14076500|14092500|14103000,3,,no,n/a,,thin,3,6,Salmonfly|Golden Stonefly|Pale Morning Dun|Caddis|October Caddis|Blue-winged Olive,,"Chubby Chernobyl, Pat's Rubber Legs, Norm Wood Special|Yellow Stimulator, Golden Stone Dry|PMD Sparkle Dun, PMD Cripple|Elk Hair Caddis, X-Caddis, Goddard Caddis|Orange Stimulator, October Caddis|Parachute BWO, RS2",real,3,3,real,3,brown-trout,Rainbow Trout (Redsides)|Summer Steelhead,1484,real,generic_check_agency,column_missing,no,tailwater,intermediate,both,ok,ok,,0,/flies/for/deschutes-river,/plan/deschutes-river,/destinations/oregon,no
eagle-river-colorado,Eagle River,colorado,yes,,yes,none,,0,,yes,honest_no_gauge,RiverLiveInset_mounted_without_usgs_site,real,5,10,Blue-winged Olive|Midge|Golden Stonefly|PMD|Caddis|October Caddis,,Parachute BWO|Mercury Midge|Yellow Stimulator|PMD Parachute|PMD Cripple|Hemingway Caddis|Orange Stimulator,real,4,4,real,3,brown-trout|rainbow-trout|brook-trout,,2638,real,specific,column_missing,no,freestone,intermediate,both,ok,ok,,0,/flies/for/eagle-river-colorado,/plan/eagle-river-colorado,/destinations/colorado,no
eg-uur-river,Eg-Uur River,mongolia,yes,,yes,none,,0,,yes,honest_no_gauge,RiverLiveInset_mounted_without_usgs_site,stub,0,0,,,,real,2,2,real,4,,Siberian Taimen|Lenok|Siberian Grayling|Amur Trout,2163,real,specific,column_missing,yes,freestone,intermediate,both,ok,trout_river_hatch_stub,,0,/flies/for/eg-uur-river,/plan/eg-uur-river,/destinations/mongolia,no
elk-river-wv,Elk River,west-virginia,yes,,yes,none,,0,,yes,honest_no_gauge,RiverLiveInset_mounted_without_usgs_site,real,12,26,Midge|Blue-winged Olive|Hendrickson|Blue Quill|Caddis|Light Cahill|Sulphur|Terrestrials|Trico,,"Mercury Midge|Parachute BWO|Hendrickson Dry|Blue Quill Parachute|Light Cahill Parachute|Comparadun Sulphur|Light Cahill Dry|Black Ant, Foam Beetle|Hopper, Black Ant|Foam Hopper, Beetle",real,4,4,real,2,rainbow-trout|brown-trout,,3049,real,specific,column_missing,no,tailwater,intermediate,wade,ok,ok,,0,/flies/for/elk-river-wv,/plan/elk-river-wv,/destinations/west-virginia,no
elk-river-tennessee,Elk River,tennessee,yes,,yes,none,,0,,yes,honest_no_gauge,RiverLiveInset_mounted_without_usgs_site,real,12,26,Midge|Blue-winged Olive|Caddis|Quill Gordon|Sulphur|Light Cahill|Terrestrial|Trico,,Mercury Midge|Parachute BWO|Quill Gordon Dry|Parachute Sulphur|Light Cahill Parachute|Black Ant|Dave Hopper|Cricket Pattern|Soft Hackle Caddis,real,4,4,real,2,brown-trout|rainbow-trout,,3096,real,specific,column_missing,no,tailwater,intermediate,wade,ok,ok,,0,/flies/for/elk-river-tennessee,/plan/elk-river-tennessee,/destinations/tennessee,no
fall-river-california,Fall River,california,yes,,yes,none,,0,,yes,honest_no_gauge,RiverLiveInset_mounted_without_usgs_site,real,8,18,Midge|Blue-winged Olive|PMD (Pale Morning Dun)|Hexagenia|Caddis|PMD|Trico,,Parachute BWO|CDC Dun BWO|Mercury Midge|PMD Sparkle Dun|Hex Paradrake|Lawsons Hex|PMD Cripple|PMD Dun|Trico Poly Wing Spinner|Griffiths Gnat|Sparkle Dun BWO,real,4,4,real,2,rainbow-trout|brown-trout,,2572,real,specific,column_missing,no,spring creek,expert,both,type_drift:expert,ok,,0,/flies/for/fall-river-california,/plan/fall-river-california,/destinations/california,no
firehole-river,Firehole River,wyoming,yes,,yes,mapped,06036805|06036905,2,,no,n/a,,thin,3,6,Blue-winged Olive|Caddis|Pale Morning Dun|Green Drake|Midges,,"Parachute BWO, Sparkle Dun, RS2|Elk Hair Caddis, X-Caddis|PMD Sparkle Dun, PMD Cripple|Green Drake Paradrake, Extended Body Drake|Parachute BWO, RS2, WD-40|Griffith's Gnat, Zebra Midge",real,3,3,real,3,brown-trout|rainbow-trout|brook-trout,,1733,real,specific,column_missing,no,spring creek,advanced,wade,ok,ok,,0,/flies/for/firehole-river,/plan/firehole-river,/destinations/wyoming,no
