slug,title,type,indexable,in_sitemap,in_listing_ui,claimed_count_bucket,hero,created_at,destination_id
beaverkill-river,Beaverkill River,river,"yes (meta robots index,follow on live HTML)",yes,"yes (getAllRivers, HTTP 200)",homepage/about/rivers H1 = 187; sitemap/llms = 138,present,2026-03-14 19:36:41.272038+00,dest-new-york
big-cottonwood-creek,Big Cottonwood Creek,river,"yes (meta robots index,follow on live HTML)",yes,"yes (getAllRivers, HTTP 200)",homepage/about/rivers H1 = 187; sitemap/llms = 138,present,2026-03-12 06:06:53.467859+00,dest-utah
big-gunpowder-falls-river,Big Gunpowder Falls River,river,"yes (meta robots index,follow on live HTML)",yes,"yes (getAllRivers, HTTP 200)",homepage/about/rivers H1 = 187; sitemap/llms = 138,present,2026-03-14 19:51:21.026888+00,dest-washington-dc-area
big-hole-river,Big Hole River,river,"yes (meta robots index,follow on live HTML)",yes,"yes (getAllRivers, HTTP 200)",homepage/about/rivers H1 = 187; sitemap/llms = 138,present,2026-03-02 15:24:48.809716+00,dest-montana
big-spring-creek,Big Spring Creek,river,"yes (meta robots index,follow on live HTML)",yes,"yes (getAllRivers, HTTP 200)",homepage/about/rivers H1 = 187; sitemap/llms = 138,present,2026-03-02 15:24:48.809716+00,dest-pennsylvania
big-wood-river-idaho,Big Wood River,river,"yes (meta robots index,follow on live HTML)",yes,"yes (getAllRivers, HTTP 200)",homepage/about/rivers H1 = 187; sitemap/llms = 138,present,2026-03-14 19:25:25.675958+00,dest-idaho
bighorn-river-montana,Bighorn River,river,"yes (meta robots index,follow on live HTML)",yes,"yes (getAllRivers, HTTP 200)",homepage/about/rivers H1 = 187; sitemap/llms = 138,present,2026-03-14 19:18:36.380745+00,dest-montana
bighorn-river-wyoming,Bighorn River (Wyoming),river,"yes (meta robots index,follow on live HTML)",yes,"yes (getAllRivers, HTTP 200)",homepage/about/rivers H1 = 187; sitemap/llms = 138,present,2026-03-14 19:25:22.568799+00,dest-wyoming
bitterroot-river-montana,Bitterroot River,river,"yes (meta robots index,follow on live HTML)",yes,"yes (getAllRivers, HTTP 200)",homepage/about/rivers H1 = 187; sitemap/llms = 138,present,2026-03-14 19:19:33.424454+00,dest-montana
blackfoot-river-montana,Blackfoot River,river,"yes (meta robots index,follow on live HTML)",yes,"yes (getAllRivers, HTTP 200)",homepage/about/rivers H1 = 187; sitemap/llms = 138,present,2026-03-14 19:24:03.156871+00,dest-montana
blacksmith-fork,Blacksmith Fork,river,"yes (meta robots index,follow on live HTML)",no,"yes (getAllRivers, HTTP 200)",homepage/about/rivers H1 = 187; sitemap/llms = 138,EMPTY,2026-08-30 23:43:04.439954+00,dest-utah
blue-river-colorado,Blue River,river,"yes (meta robots index,follow on live HTML)",yes,"yes (getAllRivers, HTTP 200)",homepage/about/rivers H1 = 187; sitemap/llms = 138,present,2026-03-14 19:33:10.329725+00,dest-colorado
blue-springs-creek,Blue Springs Creek,river,"yes (meta robots index,follow on live HTML)",no,"yes (getAllRivers, HTTP 200)",homepage/about/rivers H1 = 187; sitemap/llms = 138,EMPTY,2026-08-30 23:37:59.115674+00,dest-missouri
boardman-river,Boardman River,river,"yes (meta robots index,follow on live HTML)",yes,"yes (getAllRivers, HTTP 200)",homepage/about/rivers H1 = 187; sitemap/llms = 138,present,2026-03-14 19:19:07.958649+00,dest-michigan
boulder-river-montana,Boulder River,river,"yes (meta robots index,follow on live HTML)",yes,"yes (getAllRivers, HTTP 200)",homepage/about/rivers H1 = 187; sitemap/llms = 138,present,2026-03-14 19:22:13.766679+00,dest-montana
bristol-bay,Bristol Bay Rivers,river,"yes (meta robots index,follow on live HTML)",yes,"yes (getAllRivers, HTTP 200)",homepage/about/rivers H1 = 187; sitemap/llms = 138,present,2026-03-02 15:24:48.809716+00,dest-alaska
brule-river-michigan,Brule River (Michigan UP),river,"yes (meta robots index,follow on live HTML)",no,"yes (getAllRivers, HTTP 200)",homepage/about/rivers H1 = 187; sitemap/llms = 138,EMPTY,2026-08-30 17:59:40.768734+00,dest-michigan
brule-river-wisconsin,Brule River (Wisconsin),river,"yes (meta robots index,follow on live HTML)",yes,"yes (getAllRivers, HTTP 200)",homepage/about/rivers H1 = 187; sitemap/llms = 138,present,2026-03-14 19:20:25.95358+00,dest-wisconsin
cache-la-poudre-river,Cache La Poudre River,river,"yes (meta robots index,follow on live HTML)",yes,"yes (getAllRivers, HTTP 200)",homepage/about/rivers H1 = 187; sitemap/llms = 138,present,2026-03-14 19:33:10.329725+00,dest-colorado
canada-creek,Canada Creek,river,"yes (meta robots index,follow on live HTML)",no,"yes (getAllRivers, HTTP 200)",homepage/about/rivers H1 = 187; sitemap/llms = 138,EMPTY,2026-08-30 17:59:18.991339+00,dest-michigan
caney-fork-river,Caney Fork River,river,"yes (meta robots index,follow on live HTML)",yes,"yes (getAllRivers, HTTP 200)",homepage/about/rivers H1 = 187; sitemap/llms = 138,present,2026-03-14 19:39:30.256142+00,dest-tennessee
chattahoochee-river-ga,Chattahoochee River,river,"yes (meta robots index,follow on live HTML)",yes,"yes (getAllRivers, HTTP 200)",homepage/about/rivers H1 = 187; sitemap/llms = 138,present,2026-03-14 19:41:56.321611+00,dest-georgia
chattooga-river,Chattooga River,river,"yes (meta robots index,follow on live HTML)",yes,"yes (getAllRivers, HTTP 200)",homepage/about/rivers H1 = 187; sitemap/llms = 138,present,2026-03-14 19:38:22.2157+00,dest-north-carolina
chena-river,Chena River (Alaska),river,"yes (meta robots index,follow on live HTML)",yes,"yes (getAllRivers, HTTP 200)",homepage/about/rivers H1 = 187; sitemap/llms = 138,present,2026-03-14 19:23:00.520627+00,dest-alaska
clark-fork-river-montana,Clark Fork River,river,"yes (meta robots index,follow on live HTML)",yes,"yes (getAllRivers, HTTP 200)",homepage/about/rivers H1 = 187; sitemap/llms = 138,present,2026-03-14 19:21:22.078988+00,dest-montana
clearwater-river-idaho,Clearwater River,river,"yes (meta robots index,follow on live HTML)",yes,"yes (getAllRivers, HTTP 200)",homepage/about/rivers H1 = 187; sitemap/llms = 138,present,2026-03-14 19:25:24.034335+00,dest-idaho
clinch-river-tennessee,Clinch River,river,"yes (meta robots index,follow on live HTML)",yes,"yes (getAllRivers, HTTP 200)",homepage/about/rivers H1 = 187; sitemap/llms = 138,present,2026-03-14 19:41:06.000758+00,dest-tennessee
colorado-river-colorado,Colorado River (Grand County),river,"yes (meta robots index,follow on live HTML)",yes,"yes (getAllRivers, HTTP 200)",homepage/about/rivers H1 = 187; sitemap/llms = 138,present,2026-03-14 19:33:10.329725+00,dest-colorado
cooks-run,Cooks Run,river,"yes (meta robots index,follow on live HTML)",no,"yes (getAllRivers, HTTP 200)",homepage/about/rivers H1 = 187; sitemap/llms = 138,EMPTY,2026-08-30 18:01:10.156932+00,dest-michigan
copper-river-alaska,Copper River,river,"yes (meta robots index,follow on live HTML)",yes,"yes (getAllRivers, HTTP 200)",homepage/about/rivers H1 = 187; sitemap/llms = 138,present,2026-03-02 15:24:48.809716+00,dest-alaska
cranberry-river-wv,Cranberry River,river,"yes (meta robots index,follow on live HTML)",yes,"yes (getAllRivers, HTTP 200)",homepage/about/rivers H1 = 187; sitemap/llms = 138,present,2026-03-14 19:40:07.854301+00,dest-west-virginia
crane-creek,Crane Creek,river,"yes (meta robots index,follow on live HTML)",no,"yes (getAllRivers, HTTP 200)",homepage/about/rivers H1 = 187; sitemap/llms = 138,EMPTY,2026-08-30 23:37:59.256723+00,dest-missouri
cumberland-river-ky,Cumberland River,river,"yes (meta robots index,follow on live HTML)",yes,"yes (getAllRivers, HTTP 200)",homepage/about/rivers H1 = 187; sitemap/llms = 138,present,2026-03-14 19:41:04.109938+00,dest-kentucky
currant-creek-utah,Currant Creek,river,"yes (meta robots index,follow on live HTML)",no,"yes (getAllRivers, HTTP 200)",homepage/about/rivers H1 = 187; sitemap/llms = 138,EMPTY,2026-08-30 23:43:03.726654+00,dest-utah
current-river,Current River,river,"yes (meta robots index,follow on live HTML)",no,"yes (getAllRivers, HTTP 200)",homepage/about/rivers H1 = 187; sitemap/llms = 138,EMPTY,2026-08-30 23:37:59.394442+00,dest-missouri
davidson-river-nc,Davidson River,river,"yes (meta robots index,follow on live HTML)",yes,"yes (getAllRivers, HTTP 200)",homepage/about/rivers H1 = 187; sitemap/llms = 138,present,2026-03-14 19:36:41.639363+00,dest-north-carolina
deerfield-river,Deerfield River,river,"yes (meta robots index,follow on live HTML)",yes,"yes (getAllRivers, HTTP 200)",homepage/about/rivers H1 = 187; sitemap/llms = 138,present,2026-03-14 19:50:44.652472+00,dest-massachusetts
delaware-river-east-branch,Delaware River East Branch,river,"yes (meta robots index,follow on live HTML)",yes,"yes (getAllRivers, HTTP 200)",homepage/about/rivers H1 = 187; sitemap/llms = 138,present,2026-03-14 19:44:11.339966+00,dest-new-york
delaware-river-west-branch,Delaware River West Branch,river,"yes (meta robots index,follow on live HTML)",yes,"yes (getAllRivers, HTTP 200)",homepage/about/rivers H1 = 187; sitemap/llms = 138,present,2026-03-14 19:43:33.617419+00,dest-new-york
deschutes-river,Deschutes River,river,"yes (meta robots index,follow on live HTML)",yes,"yes (getAllRivers, HTTP 200)",homepage/about/rivers H1 = 187; sitemap/llms = 138,present,2026-03-02 15:24:48.809716+00,dest-oregon
duchesne-river,Duchesne River,river,"yes (meta robots index,follow on live HTML)",no,"yes (getAllRivers, HTTP 200)",homepage/about/rivers H1 = 187; sitemap/llms = 138,EMPTY,2026-08-30 23:43:03.288307+00,dest-utah
eagle-river-colorado,Eagle River,river,"yes (meta robots index,follow on live HTML)",yes,"yes (getAllRivers, HTTP 200)",homepage/about/rivers H1 = 187; sitemap/llms = 138,present,2026-03-14 19:33:10.329725+00,dest-colorado
east-fork-sevier-river,East Fork Sevier River,river,"yes (meta robots index,follow on live HTML)",no,"yes (getAllRivers, HTTP 200)",homepage/about/rivers H1 = 187; sitemap/llms = 138,EMPTY,2026-08-30 23:43:03.583868+00,dest-utah
eg-uur-river,Eg-Uur River,river,"yes (meta robots index,follow on live HTML)",yes,"yes (getAllRivers, HTTP 200)",homepage/about/rivers H1 = 187; sitemap/llms = 138,present,2026-03-02 15:24:48.809716+00,dest-mongolia
eleven-point-river,Eleven Point River,river,"yes (meta robots index,follow on live HTML)",no,"yes (getAllRivers, HTTP 200)",homepage/about/rivers H1 = 187; sitemap/llms = 138,EMPTY,2026-08-30 23:37:59.529586+00,dest-missouri
elk-river-tennessee,Elk River,river,"yes (meta robots index,follow on live HTML)",yes,"yes (getAllRivers, HTTP 200)",homepage/about/rivers H1 = 187; sitemap/llms = 138,present,2026-03-14 19:40:18.158041+00,dest-tennessee
elk-river-wv,Elk River,river,"yes (meta robots index,follow on live HTML)",yes,"yes (getAllRivers, HTTP 200)",homepage/about/rivers H1 = 187; sitemap/llms = 138,present,2026-03-14 19:39:15.923813+00,dest-west-virginia
encampment-river,Encampment River,river,"yes (meta robots index,follow on live HTML)",no,"yes (getAllRivers, HTTP 200)",homepage/about/rivers H1 = 187; sitemap/llms = 138,EMPTY,2026-08-30 23:33:48.717269+00,dest-wyoming
fall-river-california,Fall River,river,"yes (meta robots index,follow on live HTML)",yes,"yes (getAllRivers, HTTP 200)",homepage/about/rivers H1 = 187; sitemap/llms = 138,present,2026-03-14 19:31:37.813884+00,dest-california
fence-river,Fence River,river,"yes (meta robots index,follow on live HTML)",no,"yes (getAllRivers, HTTP 200)",homepage/about/rivers H1 = 187; sitemap/llms = 138,EMPTY,2026-08-30 17:59:56.165226+00,dest-michigan
firehole-river,Firehole River,river,"yes (meta robots index,follow on live HTML)",yes,"yes (getAllRivers, HTTP 200)",homepage/about/rivers H1 = 187; sitemap/llms = 138,present,2026-03-02 15:24:48.809716+00,dest-wyoming
flathead-river-middle-fork,Flathead River Middle Fork,river,"yes (meta robots index,follow on live HTML)",no,"yes (getAllRivers, HTTP 200)",homepage/about/rivers H1 = 187; sitemap/llms = 138,EMPTY,2026-08-30 23:01:31.673898+00,dest-montana
flathead-river-north-fork,Flathead River North Fork,river,"yes (meta robots index,follow on live HTML)",no,"yes (getAllRivers, HTTP 200)",homepage/about/rivers H1 = 187; sitemap/llms = 138,EMPTY,2026-08-30 23:01:31.673898+00,dest-montana
flathead-river-south-fork,Flathead River South Fork,river,"yes (meta robots index,follow on live HTML)",no,"yes (getAllRivers, HTTP 200)",homepage/about/rivers H1 = 187; sitemap/llms = 138,EMPTY,2026-08-30 23:01:31.673898+00,dest-montana
florida-keys-flats,Florida Keys Flats,river,"yes (meta robots index,follow on live HTML)",yes,"yes (getAllRivers, HTTP 200)",homepage/about/rivers H1 = 187; sitemap/llms = 138,present,2026-03-02 15:24:48.809716+00,dest-florida-keys
fox-river-east-branch,Fox River East Branch,river,"yes (meta robots index,follow on live HTML)",no,"yes (getAllRivers, HTTP 200)",homepage/about/rivers H1 = 187; sitemap/llms = 138,EMPTY,2026-08-30 18:00:12.093921+00,dest-michigan
frying-pan-river,Frying Pan River,river,"yes (meta robots index,follow on live HTML)",yes,"yes (getAllRivers, HTTP 200)",homepage/about/rivers H1 = 187; sitemap/llms = 138,present,2026-03-02 15:24:48.809716+00,dest-colorado
gallatin-river,Gallatin River,river,"yes (meta robots index,follow on live HTML)",yes,"yes (getAllRivers, HTTP 200)",homepage/about/rivers H1 = 187; sitemap/llms = 138,present,2026-03-02 15:24:48.809716+00,dest-montana
gore-creek,Gore Creek,river,"yes (meta robots index,follow on live HTML)",no,"yes (getAllRivers, HTTP 200)",homepage/about/rivers H1 = 187; sitemap/llms = 138,EMPTY,2026-08-30 23:12:09.866918+00,dest-colorado
grande-ronde-river,Grande Ronde River,river,"yes (meta robots index,follow on live HTML)",yes,"yes (getAllRivers, HTTP 200)",homepage/about/rivers H1 = 187; sitemap/llms = 138,present,2026-03-14 19:31:11.056263+00,dest-oregon
green-river,Green River,river,"yes (meta robots index,follow on live HTML)",yes,"yes (getAllRivers, HTTP 200)",homepage/about/rivers H1 = 187; sitemap/llms = 138,present,2026-03-02 20:35:45.183667+00,dest-utah
guadalupe-river-texas,Guadalupe River (Texas),river,"yes (meta robots index,follow on live HTML)",yes,"yes (getAllRivers, HTTP 200)",homepage/about/rivers H1 = 187; sitemap/llms = 138,present,2026-03-14 19:21:40.122793+00,dest-texas
gunnison-river,Gunnison River (Black Canyon),river,"yes (meta robots index,follow on live HTML)",yes,"yes (getAllRivers, HTTP 200)",homepage/about/rivers H1 = 187; sitemap/llms = 138,present,2026-03-14 19:33:10.329725+00,dest-colorado
hams-fork,Ham's Fork,river,"yes (meta robots index,follow on live HTML)",yes,"yes (getAllRivers, HTTP 200)",homepage/about/rivers H1 = 187; sitemap/llms = 138,present,2026-03-12 06:06:53.914449+00,dest-wyoming
hat-creek-california,Hat Creek,river,"yes (meta robots index,follow on live HTML)",yes,"yes (getAllRivers, HTTP 200)",homepage/about/rivers H1 = 187; sitemap/llms = 138,present,2026-03-14 19:32:22.54377+00,dest-california
henrys-fork,Henry's Fork of the Snake River,river,"yes (meta robots index,follow on live HTML)",yes,"yes (getAllRivers, HTTP 200)",homepage/about/rivers H1 = 187; sitemap/llms = 138,present,2026-03-02 15:24:48.809716+00,dest-idaho
hiwassee-river,Hiwassee River,river,"yes (meta robots index,follow on live HTML)",yes,"yes (getAllRivers, HTTP 200)",homepage/about/rivers H1 = 187; sitemap/llms = 138,present,2026-03-14 19:38:31.23046+00,dest-tennessee
huntington-creek,Huntington Creek,river,"yes (meta robots index,follow on live HTML)",no,"yes (getAllRivers, HTTP 200)",homepage/about/rivers H1 = 187; sitemap/llms = 138,EMPTY,2026-08-30 23:43:04.572517+00,dest-utah
james-river-va,James River,river,"yes (meta robots index,follow on live HTML)",yes,"yes (getAllRivers, HTTP 200)",homepage/about/rivers H1 = 187; sitemap/llms = 138,present,2026-03-14 19:40:06.867787+00,dest-virginia
jardines-de-la-reina,Jardines de la Reina,river,"yes (meta robots index,follow on live HTML)",yes,"yes (getAllRivers, HTTP 200)",homepage/about/rivers H1 = 187; sitemap/llms = 138,present,2026-03-02 15:24:48.809716+00,dest-cuba
jefferson-river-montana,Jefferson River,river,"yes (meta robots index,follow on live HTML)",no,"yes (getAllRivers, HTTP 200)",homepage/about/rivers H1 = 187; sitemap/llms = 138,EMPTY,2026-08-30 23:01:31.673898+00,dest-montana
john-day-river,John Day River,river,"yes (meta robots index,follow on live HTML)",yes,"yes (getAllRivers, HTTP 200)",homepage/about/rivers H1 = 187; sitemap/llms = 138,present,2026-03-14 19:33:42.497337+00,dest-oregon
kenai-river,Kenai River,river,"yes (meta robots index,follow on live HTML)",yes,"yes (getAllRivers, HTTP 200)",homepage/about/rivers H1 = 187; sitemap/llms = 138,present,2026-03-02 15:24:48.809716+00,dest-alaska
kickapoo-river,Kickapoo River,river,"yes (meta robots index,follow on live HTML)",yes,"yes (getAllRivers, HTTP 200)",homepage/about/rivers H1 = 187; sitemap/llms = 138,present,2026-03-14 19:20:25.223198+00,dest-wisconsin
klickitat-river,Klickitat River,river,"yes (meta robots index,follow on live HTML)",yes,"yes (getAllRivers, HTTP 200)",homepage/about/rivers H1 = 187; sitemap/llms = 138,present,2026-03-14 19:33:04.106098+00,dest-washington
kootenai-river,Kootenai River (below Libby Dam),river,"yes (meta robots index,follow on live HTML)",no,"yes (getAllRivers, HTTP 200)",homepage/about/rivers H1 = 187; sitemap/llms = 138,EMPTY,2026-08-30 23:01:31.673898+00,dest-montana
lamar-river-yellowstone,Lamar River,river,"yes (meta robots index,follow on live HTML)",yes,"yes (getAllRivers, HTTP 200)",homepage/about/rivers H1 = 187; sitemap/llms = 138,present,2026-03-14 19:24:19.583479+00,dest-wyoming
lees-ferry-arizona,Lee''s Ferry,river,"yes (meta robots index,follow on live HTML)",yes,"yes (getAllRivers, HTTP 200)",homepage/about/rivers H1 = 187; sitemap/llms = 138,present,2026-03-14 19:32:49.56009+00,dest-arizona
letort-spring-run,Letort Spring Run,river,"yes (meta robots index,follow on live HTML)",yes,"yes (getAllRivers, HTTP 200)",homepage/about/rivers H1 = 187; sitemap/llms = 138,present,2026-03-02 15:24:48.809716+00,dest-pennsylvania
little-cottonwood-creek,Little Cottonwood Creek,river,"yes (meta robots index,follow on live HTML)",yes,"yes (getAllRivers, HTTP 200)",homepage/about/rivers H1 = 187; sitemap/llms = 138,present,2026-03-12 06:06:53.626015+00,dest-utah
little-manistee-river,Little Manistee River,river,"yes (meta robots index,follow on live HTML)",no,"yes (getAllRivers, HTTP 200)",homepage/about/rivers H1 = 187; sitemap/llms = 138,EMPTY,2026-08-30 17:46:54.679824+00,dest-michigan
little-piney-creek,Little Piney Creek,river,"yes (meta robots index,follow on live HTML)",no,"yes (getAllRivers, HTTP 200)",homepage/about/rivers H1 = 187; sitemap/llms = 138,EMPTY,2026-08-30 23:37:59.647577+00,dest-missouri
little-red-river,Little Red River,river,"yes (meta robots index,follow on live HTML)",yes,"yes (getAllRivers, HTTP 200)",homepage/about/rivers H1 = 187; sitemap/llms = 138,present,2026-03-02 15:24:48.809716+00,dest-arkansas
lochsa-river-idaho,Lochsa River,river,"yes (meta robots index,follow on live HTML)",yes,"yes (getAllRivers, HTTP 200)",homepage/about/rivers H1 = 187; sitemap/llms = 138,present,2026-03-14 19:24:25.544085+00,dest-idaho
logan-river,Logan River,river,"yes (meta robots index,follow on live HTML)",yes,"yes (getAllRivers, HTTP 200)",homepage/about/rivers H1 = 187; sitemap/llms = 138,present,2026-03-12 06:06:53.768646+00,dest-utah
lost-creek-utah,Lost Creek,river,"yes (meta robots index,follow on live HTML)",no,"yes (getAllRivers, HTTP 200)",homepage/about/rivers H1 = 187; sitemap/llms = 138,EMPTY,2026-08-30 23:43:04.723402+00,dest-utah
madison-river,Madison River,river,"yes (meta robots index,follow on live HTML)",yes,"yes (getAllRivers, HTTP 200)",homepage/about/rivers H1 = 187; sitemap/llms = 138,present,2026-03-02 15:24:48.809716+00,dest-montana
manistee-river,Manistee River,river,"yes (meta robots index,follow on live HTML)",yes,"yes (getAllRivers, HTTP 200)",homepage/about/rivers H1 = 187; sitemap/llms = 138,present,2026-03-02 15:24:48.809716+00,dest-michigan
mccloud-river,McCloud River,river,"yes (meta robots index,follow on live HTML)",yes,"yes (getAllRivers, HTTP 200)",homepage/about/rivers H1 = 187; sitemap/llms = 138,present,2026-03-14 19:30:39.101774+00,dest-california
mckenzie-river,McKenzie River,river,"yes (meta robots index,follow on live HTML)",yes,"yes (getAllRivers, HTTP 200)",homepage/about/rivers H1 = 187; sitemap/llms = 138,present,2026-03-02 15:24:48.809716+00,dest-oregon
methow-river,Methow River,river,"yes (meta robots index,follow on live HTML)",yes,"yes (getAllRivers, HTTP 200)",homepage/about/rivers H1 = 187; sitemap/llms = 138,present,2026-03-14 19:32:17.504434+00,dest-washington
metolius-river,Metolius River,river,"yes (meta robots index,follow on live HTML)",yes,"yes (getAllRivers, HTTP 200)",homepage/about/rivers H1 = 187; sitemap/llms = 138,present,2026-03-14 19:31:59.963484+00,dest-oregon
middle-fork-powder-river,Middle Fork Powder River,river,"yes (meta robots index,follow on live HTML)",no,"yes (getAllRivers, HTTP 200)",homepage/about/rivers H1 = 187; sitemap/llms = 138,EMPTY,2026-08-30 23:33:48.553256+00,dest-wyoming
mill-creek-missouri,Mill Creek,river,"yes (meta robots index,follow on live HTML)",no,"yes (getAllRivers, HTTP 200)",homepage/about/rivers H1 = 187; sitemap/llms = 138,EMPTY,2026-08-30 23:37:59.782707+00,dest-missouri
missouri-river,Missouri River,river,"yes (meta robots index,follow on live HTML)",yes,"yes (getAllRivers, HTTP 200)",homepage/about/rivers H1 = 187; sitemap/llms = 138,present,2026-03-02 15:24:48.809716+00,dest-montana
muskegon-river,Muskegon River,river,"yes (meta robots index,follow on live HTML)",yes,"yes (getAllRivers, HTTP 200)",homepage/about/rivers H1 = 187; sitemap/llms = 138,present,2026-03-14 19:17:56.518289+00,dest-michigan
nantahala-river,Nantahala River,river,"yes (meta robots index,follow on live HTML)",yes,"yes (getAllRivers, HTTP 200)",homepage/about/rivers H1 = 187; sitemap/llms = 138,present,2026-03-14 19:37:43.151926+00,dest-north-carolina
neversink-river,Neversink River,river,"yes (meta robots index,follow on live HTML)",yes,"yes (getAllRivers, HTTP 200)",homepage/about/rivers H1 = 187; sitemap/llms = 138,present,2026-03-14 19:42:52.461934+00,dest-new-york
new-fork-river,New Fork River,river,"yes (meta robots index,follow on live HTML)",no,"yes (getAllRivers, HTTP 200)",homepage/about/rivers H1 = 187; sitemap/llms = 138,EMPTY,2026-08-30 23:33:49.195322+00,dest-wyoming
new-river-va,New River,river,"yes (meta robots index,follow on live HTML)",yes,"yes (getAllRivers, HTTP 200)",homepage/about/rivers H1 = 187; sitemap/llms = 138,present,2026-03-14 19:40:40.965316+00,dest-virginia
norfork-river,Norfork River,river,"yes (meta robots index,follow on live HTML)",yes,"yes (getAllRivers, HTTP 200)",homepage/about/rivers H1 = 187; sitemap/llms = 138,present,2026-03-02 15:24:48.809716+00,dest-arkansas
north-branch-potomac-river,North Branch Potomac River,river,"yes (meta robots index,follow on live HTML)",yes,"yes (getAllRivers, HTTP 200)",homepage/about/rivers H1 = 187; sitemap/llms = 138,present,2026-03-14 19:51:21.904337+00,dest-washington-dc-area
north-fork-shoshone-river,North Fork Shoshone River,river,"yes (meta robots index,follow on live HTML)",no,"yes (getAllRivers, HTTP 200)",homepage/about/rivers H1 = 187; sitemap/llms = 138,EMPTY,2026-08-30 23:33:48.374821+00,dest-wyoming
north-fork-white-river,North Fork of the White River,river,"yes (meta robots index,follow on live HTML)",no,"yes (getAllRivers, HTTP 200)",homepage/about/rivers H1 = 187; sitemap/llms = 138,EMPTY,2026-08-30 23:37:59.905249+00,dest-missouri
north-male-atoll,North Malé Atoll,river,"yes (meta robots index,follow on live HTML)",yes,"yes (getAllRivers, HTTP 200)",homepage/about/rivers H1 = 187; sitemap/llms = 138,present,2026-03-02 15:24:48.809716+00,dest-maldives
north-platte-river-colorado,North Platte River (Northgate Canyon),river,"yes (meta robots index,follow on live HTML)",no,"yes (getAllRivers, HTTP 200)",homepage/about/rivers H1 = 187; sitemap/llms = 138,EMPTY,2026-08-30 23:12:09.866918+00,dest-colorado
north-platte-wyoming,North Platte River (Wyoming),river,"yes (meta robots index,follow on live HTML)",yes,"yes (getAllRivers, HTTP 200)",homepage/about/rivers H1 = 187; sitemap/llms = 138,present,2026-03-02 15:24:48.809716+00,dest-wyoming
north-umpqua-river,North Umpqua River,river,"yes (meta robots index,follow on live HTML)",yes,"yes (getAllRivers, HTTP 200)",homepage/about/rivers H1 = 187; sitemap/llms = 138,present,2026-03-14 19:30:18.163138+00,dest-oregon
ogden-river,Ogden River,river,"yes (meta robots index,follow on live HTML)",no,"yes (getAllRivers, HTTP 200)",homepage/about/rivers H1 = 187; sitemap/llms = 138,EMPTY,2026-08-30 23:43:03.876026+00,dest-utah
paint-river,Paint River,river,"yes (meta robots index,follow on live HTML)",no,"yes (getAllRivers, HTTP 200)",homepage/about/rivers H1 = 187; sitemap/llms = 138,EMPTY,2026-08-30 18:00:51.837599+00,dest-michigan
